metric_id,stat_date,impressions,clicks,engagements,reach,booking_requests,confirmed_bookings,revenue,placement_id
73,2024-07-03,282209,2309,1585,139355,9630,1373,5708382.13,1
74,2024-07-04,452070,20558,2860,302602,7469,529,2114498.23,1
75,2024-07-05,235677,8378,763,86188,4318,228,594845.82,1
76,2024-07-06,124961,4662,987,62958,9626,2272,8098947.1,1
77,2024-07-09,343363,16531,1501,131024,7626,2037,3068091.25,1
78,2024-07-13,377965,15233,3704,267161,1902,248,172435.27,1
79,2024-07-14,356540,17704,593,198324,6240,1293,4694713.75,1
80,2024-07-15,315782,15724,2296,244893,8712,534,942154.54,1
81,2024-07-19,405191,1554,1843,145516,717,96,121301.72,1
82,2024-07-20,324673,6501,994,130708,5014,1472,7268659.97,1
83,2024-07-24,179677,464,632,109187,7941,1593,2738859.86,1
84,2024-07-29,28532,1302,239,14272,7076,1637,5337223.04,1
85,2024-07-31,130473,659,1159,95711,5174,292,640672.86,1
86,2024-08-02,28712,704,283,12771,3975,1022,3128205.68,1
87,2024-08-06,152456,3653,721,46120,454,29,127346.27,1
88,2024-08-09,150456,4089,1165,125778,1510,296,1115192.96,1
89,2024-08-10,5809,247,18,4891,6650,547,2621896.6,1
90,2024-08-20,411316,4587,3662,300009,3469,406,243531.52,1
91,2024-08-21,190089,4625,1612,89075,4413,1121,5443443.66,1
92,2024-08-22,126917,5578,587,91946,2864,163,635393.18,1
93,2024-08-23,302908,9792,2497,150366,6931,954,3009516.63,1
94,2024-08-24,139013,3918,252,117448,1381,258,652507.03,1
95,2024-08-25,305462,6240,2015,134726,2230,555,1424718.65,1
96,2024-08-26,217464,5461,722,191150,4214,1243,3376959.31,1
97,2024-08-31,70836,796,440,27504,810,133,416482.51,1
98,2024-09-02,138162,1078,935,82688,1937,326,1142307.2,1
99,2024-09-03,338841,10332,1021,158760,5174,705,1455321.96,1
100,2024-09-06,286205,1530,596,190541,573,58,124074.43,1
101,2024-09-09,92865,3234,125,38347,6240,1291,1120479.1,1
102,2024-09-15,187717,1631,825,60747,1326,393,1145460.56,1
103,2024-09-17,394271,9754,2588,191967,2175,360,1390902.92,1
104,2024-09-18,267765,2206,588,216523,1696,442,1711986.69,1
105,2024-09-19,330211,2064,1659,204249,1956,216,369704.42,1
106,2024-09-24,374220,3716,2273,162714,6279,828,860233.7,1
107,2024-09-25,105592,1879,556,39238,8308,1763,4686264.6,1
108,2024-09-29,400587,10943,2516,193655,6941,568,1009331.22,1
109,2024-09-30,195053,8793,1261,134218,926,122,573596.81,1
110,2024-10-09,379292,2270,901,316017,6817,614,822484.69,1
111,2024-10-10,262949,10646,394,202924,8484,462,1679982.88,1
112,2024-10-11,272255,1766,1247,241494,8245,423,2067540.34,1
113,2024-10-12,113221,1061,794,87407,896,164,433745.18,1
114,2024-10-16,351380,13600,942,147515,8965,1585,2521487.42,1
115,2024-10-17,390678,13929,3090,159736,1878,331,1553735.36,1
116,2024-10-21,368436,9983,540,300985,59,11,32671.64,1
117,2024-10-26,302953,5088,2511,99397,1392,306,1199833.76,1
118,2024-11-02,248754,6016,1605,116704,8034,2110,8138028.12,1
119,2024-11-06,306073,2170,2319,176376,8212,547,2097768.48,1
120,2024-11-07,44925,150,360,22541,9494,953,1178338.51,1
121,2024-11-10,349884,3545,1092,236114,7627,2112,4061132.32,1
122,2024-11-21,215057,4350,1795,139563,6993,1158,2149480.1,1
123,2024-11-25,219134,4930,1358,133468,1298,191,552631.5,1
124,2024-11-26,390940,17755,2587,184788,8439,2404,7992545.72,1
125,2024-11-27,287663,10065,719,206728,5838,1014,3890286.14,1
126,2024-11-28,132994,5272,314,106554,1000,85,120738.31,1
127,2024-12-01,322345,12365,2865,271647,6078,472,2033864.67,1
128,2024-12-02,203967,6240,1126,81293,2421,558,2087011.74,1
129,2024-12-07,148550,4504,904,115880,6216,1028,4896132.73,1
130,2024-12-09,134515,6144,302,57722,7840,1815,5750524.53,1
131,2024-12-10,171987,4934,1250,111875,3926,890,1055918.87,1
132,2024-12-12,197382,6065,950,164714,3418,961,2430154.86,1
133,2024-12-14,339733,4266,845,280514,9447,2450,4886914.2,1
134,2024-12-15,185245,4894,1171,123817,7162,1690,2408434.44,1
135,2024-12-16,302368,370,1209,246932,586,155,721264.76,1
136,2024-12-17,9070,163,69,6321,6833,725,1838583.92,1
137,2024-12-18,473242,6229,2933,424072,6025,770,3089417.63,1
138,2024-12-20,267901,3157,780,239138,1016,298,764504.23,1
139,2024-12-21,234619,5001,414,133208,6754,843,1597245.73,1
140,2024-12-26,436165,16464,1260,319987,2129,355,1175899.14,1
141,2025-01-02,174532,4211,1061,70808,818,199,505420.15,1
142,2025-01-07,423081,11502,2254,138409,5847,1411,1359380.9,1
143,2025-01-10,53487,2312,508,29133,4923,579,1967440.81,1
144,2025-01-22,184675,7430,1811,81801,3512,754,468936.7,1
145,2025-01-26,208606,2803,576,125811,8569,651,2668854.17,1
146,2025-01-27,335402,14920,2015,165549,8020,888,3330178.66,1
147,2025-01-29,454751,18433,4394,257725,5055,623,2824377.47,1
148,2025-02-06,269294,8625,2052,231939,3502,942,3196361.46,1
149,2025-02-11,382009,17091,3192,202557,3644,418,923201.42,1
150,2025-02-14,366014,979,3102,274448,1329,249,613179.78,1
151,2025-02-15,139155,1635,1359,59517,2729,808,2116793.99,1
152,2025-02-17,431815,9428,519,132117,2649,595,1375327.74,1
153,2025-02-19,24752,193,210,9476,6859,1244,1583060.64,1
154,2025-02-25,389822,13439,3275,178214,5525,964,773406.88,1
155,2025-02-28,416396,13707,3525,126540,8091,687,1158678.48,1
156,2025-03-02,82182,3601,524,55641,6186,1073,3304651.91,1
157,2025-03-07,405880,8734,1805,289233,4275,391,1494070.15,1
158,2025-03-08,151322,821,1201,98672,8390,2175,5366530.37,1
159,2025-03-10,466571,16905,1714,324345,6816,1966,2177356.3,1
160,2025-03-11,483615,5577,619,389967,1812,471,2029461.44,1
161,2025-03-16,156130,4722,625,79760,7667,587,491976.45,1
162,2025-03-22,169976,3608,1248,134551,6235,1028,865267.96,1
163,2025-03-23,29145,1170,211,25057,4140,1202,4874183.34,1
164,2025-03-24,37408,854,99,12563,8457,2026,6838301.55,1
165,2025-03-28,12344,410,89,4412,5369,603,1629554.64,1
166,2025-03-30,78454,2743,114,70153,8288,505,1589329.39,1
167,2025-04-07,370040,3644,2261,205469,440,25,90959.78,1
168,2025-04-14,463984,4842,945,180981,1550,261,1142969.09,1
169,2025-04-18,288654,6726,1645,152746,5442,1156,2475155.09,1
170,2025-04-20,36435,251,61,13913,4328,654,2011654.9,1
171,2025-04-23,95071,2608,771,78593,7614,1572,7053406.59,1
172,2025-04-24,80273,3528,381,24626,4396,1181,3401536.4,1
173,2025-04-27,442759,20675,721,149198,2082,313,832404.81,1
174,2025-04-29,276128,8133,951,224526,4411,321,646387.14,1
175,2025-05-02,251195,9329,791,77408,1215,150,650654.73,1
176,2025-05-04,427129,5316,588,350026,8223,503,499279.91,1
177,2025-05-07,123744,4244,366,80124,1878,463,417787.82,1
178,2025-05-11,431789,21215,3867,255831,8252,2276,11269231.85,1
179,2025-05-22,287406,14245,886,255490,9126,2351,2448623.93,1
180,2025-05-25,303186,2925,904,249403,6452,1655,6791232.24,1
181,2025-05-26,74781,3625,669,33796,1963,355,593222.81,1
182,2025-05-28,478602,18260,3476,303483,7956,844,1272059.3,1
183,2025-06-02,469974,1272,4255,224292,1340,360,610272.07,1
184,2025-06-04,492036,21919,4723,435685,9802,1839,1639358.93,1
185,2025-06-08,26559,355,27,13337,4022,250,724177.83,1
186,2025-06-12,369676,4358,2642,196858,5118,1345,3669374.35,1
187,2025-06-18,378149,11355,3184,246107,6233,1193,2030041.27,1
188,2025-06-19,387309,10279,3413,314939,1754,234,368340.6,1
189,2025-06-20,158364,5436,1040,49978,4845,434,1937340.59,1
190,2025-06-23,75553,1798,673,35378,7611,1940,2965897.66,1
191,2025-06-24,43534,386,364,29137,8830,1561,825357.56,1
192,2025-07-01,219335,1123,863,194032,2114,166,364391.44,1
193,2025-07-02,169383,4651,1358,121795,5402,1570,3200326.85,1
194,2025-07-06,230947,2262,1797,153091,1315,377,470759.58,1
195,2025-07-07,474611,2040,2961,390895,8263,1695,1196397.36,1
196,2025-07-09,331033,16391,2345,251576,9004,743,2906753.0,1
197,2025-07-10,219118,923,1839,97333,9695,1620,7693973.5,1
198,2025-07-11,90186,2084,222,68901,2894,646,964777.26,1
199,2025-07-13,454761,17675,1396,189358,2946,856,548576.51,1
200,2025-07-14,296900,14024,1418,248744,4229,631,1094134.07,1
201,2023-04-21,391530,6376,1521,268513,2030,203,894530.19,2
202,2023-04-23,345855,6591,3036,122395,3660,1068,1425635.63,2
203,2023-04-26,399992,2186,953,202967,3683,884,2933104.44,2
204,2023-05-04,83879,1292,772,40414,7775,1286,650128.63,2
205,2023-05-09,261550,1865,1875,112996,8762,877,2378577.88,2
206,2023-05-10,130749,3859,447,93839,633,80,203879.25,2
207,2023-05-14,103471,2459,737,60050,1439,422,1581864.61,2
208,2023-05-15,7154,250,62,6343,3546,212,564403.63,2
209,2023-05-18,309311,2520,595,276134,5841,318,849251.98,2
210,2023-05-21,97347,3448,587,51635,8082,1450,1298328.91,2
211,2023-05-23,177076,892,1491,110107,967,126,617223.44,2
212,2023-05-24,230465,8016,1891,137716,155,14,13587.77,2
213,2023-05-26,334770,2372,3035,218263,9681,1207,5683048.66,2
214,2023-05-30,365359,13149,3001,254308,8492,1452,5043798.65,2
215,2023-06-05,99511,2769,831,38454,944,199,570893.58,2
216,2023-06-09,96081,2161,722,36003,1610,431,640665.53,2
217,2023-06-11,152094,3656,1170,74008,2406,516,1414810.45,2
218,2023-06-12,283193,572,1948,253441,8553,2512,8607281.56,2
219,2023-06-13,342705,7114,1022,119120,6128,618,2646298.14,2
220,2023-06-17,466757,22440,2213,371474,8645,1791,6822055.73,2
221,2023-06-18,102757,5075,139,81691,4753,936,591809.41,2
222,2023-06-19,32585,809,288,20946,1444,174,368215.26,2
223,2023-06-20,250474,7896,1674,160020,7954,659,2452278.93,2
224,2023-06-23,417495,12729,2794,322381,6527,1162,2740740.01,2
225,2023-06-25,177037,4447,570,149170,1696,336,1044075.33,2
226,2023-06-26,102459,3079,253,91019,8269,947,3272183.3,2
227,2023-06-27,145832,5672,317,56337,7112,1162,1815307.87,2
228,2023-06-30,45738,1036,181,19445,5947,1292,1493428.69,2
229,2023-07-05,400492,5281,2624,339795,625,87,192018.89,2
230,2023-07-07,299090,11091,2085,182051,3618,818,2052082.99,2
231,2023-07-08,346454,15086,988,285116,1989,233,176355.57,2
232,2023-07-23,179686,2214,263,134801,6312,670,877731.47,2
233,2023-07-24,235554,3884,1310,104663,9277,807,3986447.29,2
234,2023-07-27,133311,4614,154,85265,7523,2206,6861774.1,2
235,2023-07-28,319647,8395,1725,175035,6344,364,686389.24,2
236,2023-08-01,391479,18419,2973,239306,9606,705,2486330.22,2
237,2023-08-04,106823,1334,1032,82396,5288,1513,5408394.2,2
238,2023-08-06,449625,5828,3811,362958,1036,292,1052038.15,2
239,2023-08-08,102376,1184,709,50220,9569,2036,1994605.34,2
240,2023-08-17,37059,326,238,28075,5754,1534,7624004.88,2
241,2023-08-19,466676,18357,2848,337098,7164,1931,4477277.32,2
242,2023-08-20,30165,1398,149,12602,7811,2104,4055209.05,2
243,2023-08-22,18772,771,39,14644,504,25,49015.91,2
244,2023-08-23,28723,887,174,20794,2925,547,1741749.0,2
245,2023-08-25,140999,2719,429,105748,7060,650,2204534.71,2
246,2023-08-30,288681,6844,1275,93075,2913,762,3515917.01,2
247,2023-09-01,196804,3487,870,140930,4449,867,2515350.34,2
248,2023-09-05,336914,12964,2802,292035,6620,361,498541.34,2
249,2023-09-09,464183,15190,4215,268057,8956,1298,1800577.25,2
250,2023-09-10,246900,4500,472,211154,1013,115,204921.73,2
251,2023-09-11,168450,7841,975,105226,9923,1488,7284152.2,2
252,2023-09-19,232513,1621,611,183767,7102,682,1247209.07,2
253,2023-09-20,311512,8971,1030,249136,5253,897,3701888.93,2
254,2023-09-24,239976,4632,1377,160196,7335,1311,4157080.79,2
255,2023-09-26,184321,2099,1197,131449,5802,1508,6861556.92,2
256,2023-09-27,120503,3407,397,91976,3733,582,2039313.19,2
257,2023-10-04,328825,12681,771,226203,9826,2301,10084332.34,2
258,2023-10-06,280158,7629,730,152435,1037,105,353936.47,2
259,2023-10-11,206768,4167,1313,69451,5066,1504,1675424.25,2
260,2023-10-14,328252,11198,1636,130385,6652,1981,2135070.89,2
261,2023-10-23,455162,13908,1836,167555,9432,2293,3879823.67,2
262,2023-10-25,113356,5080,309,65373,5522,588,1233320.23,2
263,2023-10-30,378539,8584,3212,315220,2525,273,799904.64,2
264,2023-11-01,319693,9606,2276,141020,7476,729,536197.68,2
265,2023-11-07,252051,8426,1517,85301,4261,277,839402.98,2
266,2023-11-10,455179,21903,3056,162145,257,39,93681.94,2
267,2023-11-11,125982,4793,520,57897,7173,1210,2687855.6,2
268,2023-11-19,336126,6912,797,294620,8605,954,3360000.4,2
269,2023-11-23,145467,4590,262,48535,5330,1077,2994892.46,2
270,2023-11-24,10715,382,14,7790,5832,675,1431414.34,2
271,2023-11-27,36585,1716,218,16274,9967,1612,5162711.29,2
272,2023-11-29,234782,2095,1896,80816,4487,859,1941075.8,2
273,2023-11-30,234483,10926,480,95513,5598,812,3614118.17,2
274,2023-12-05,64133,2331,145,50989,7743,543,1256182.07,2
275,2023-12-09,269865,2303,812,185170,6147,1292,5427902.0,2
276,2023-12-10,337664,8268,1291,107200,9375,2574,10893157.25,2
277,2023-12-17,115099,2949,528,84729,5822,826,666396.47,2
278,2023-12-18,237513,6127,734,111361,7229,2106,5151782.39,2
279,2023-12-19,209524,9823,1861,115045,5997,1576,790358.13,2
280,2023-12-23,472082,14804,3234,344842,6480,423,1697679.68,2
281,2023-12-25,360177,4097,1931,288966,5225,649,1581299.73,2
282,2023-12-28,45936,366,96,22854,6456,1439,1122870.54,2
283,2023-12-29,98539,3155,301,72669,1432,150,192283.0,2
284,2023-12-30,361867,9707,1749,255054,9750,2648,6683633.88,2
285,2024-01-01,183268,3364,1050,82585,1599,150,336278.16,2
286,2024-01-02,332396,512,1577,189536,6598,361,602566.56,2
287,2024-01-03,155249,5335,420,137586,6406,1656,5517534.7,2
288,2024-01-04,17052,686,164,5278,8706,674,1998961.13,2
289,2024-01-11,136870,3485,464,70361,8011,655,2876086.51,2
290,2024-01-14,300631,11162,1588,235317,9701,2569,5820767.62,2
291,2024-01-15,196113,8768,1882,91617,3241,417,1499784.78,2
292,2024-01-19,443939,2106,1560,223534,3947,447,1794824.31,2
293,2024-01-22,254211,8191,1762,127662,7138,1452,1161504.43,2
294,2024-01-27,419647,18565,818,362353,6280,1381,949476.24,2
295,2024-01-29,324064,12173,2246,125301,8649,660,435645.48,2
296,2024-02-01,148603,5518,621,92935,9916,2902,13756696.67,2
297,2024-02-02,126426,1273,324,67883,9014,1938,7635093.99,2
298,2024-02-04,137511,2996,239,80532,7554,935,3704006.39,2
299,2024-02-05,128896,6293,903,89647,7029,1712,5816638.37,2
300,2024-02-09,124257,3036,1126,84134,2246,182,479481.27,2
301,2024-02-11,280297,8546,1749,197079,4033,1020,3523236.81,2
302,2024-02-12,189938,596,379,146470,5834,840,2499347.53,2
303,2024-02-16,443361,13759,4206,310884,735,39,193668.9,2
304,2024-02-17,293985,12047,2573,164467,4925,1377,2251511.48,2
305,2024-02-22,160116,1894,1570,71945,6431,1569,5417330.65,2
306,2024-02-26,261298,4359,2032,121930,7053,428,531433.34,2
307,2024-03-01,65028,2248,118,45570,4132,362,738742.94,2
308,2024-03-02,371965,10254,2348,120295,8944,684,808530.53,2
309,2024-03-03,30725,1345,206,12517,6329,1046,566923.93,2
310,2024-03-05,416872,15567,3723,163848,5393,1455,5032876.15,2
311,2024-03-08,69056,1947,524,35282,9164,2034,4451753.91,2
312,2024-03-14,118235,3154,1020,46275,3133,740,1044260.27,2
313,2024-03-18,283017,10804,2010,252728,1828,476,1245423.41,2
314,2024-03-20,417978,20823,1803,134989,5301,1221,5479702.72,2
315,2024-03-22,115914,898,807,36797,5016,254,835190.61,2
316,2024-03-23,105195,1039,472,91222,2613,463,1738713.83,2
317,2024-03-25,49868,1467,301,42483,4009,805,2853005.1,2
318,2024-03-26,247353,7545,298,183663,3440,238,181708.05,2
319,2024-03-27,43092,1618,423,26355,917,164,406866.86,2
320,2024-03-29,489163,3422,3727,223004,1219,174,135970.56,2
321,2024-03-30,419267,15532,4186,159567,5287,1113,2666320.87,2
322,2024-03-31,297195,7522,773,250484,2175,515,1972418.45,2
323,2024-04-04,4471,48,27,1478,2147,196,715622.23,2
324,2024-04-13,138469,4117,1007,64824,1499,394,596884.78,2
325,2024-04-15,357932,15124,957,240547,8945,1527,1680707.63,2
326,2024-04-19,151787,522,1386,48375,3434,177,134123.72,2
327,2024-04-20,18069,558,40,13130,1669,357,1715301.39,2
328,2024-05-03,475013,7056,665,283132,9485,1128,1963008.23,2
329,2024-05-05,74997,992,258,57281,9883,2581,4404800.65,2
330,2024-05-07,42800,1065,55,15483,8067,2231,2513453.9,2
331,2024-05-11,310443,5105,2467,217434,721,155,749467.62,2
332,2024-05-22,471670,20859,2141,252988,6335,1474,7245943.6,2
333,2024-05-31,260153,2108,1958,200833,1988,252,1199938.81,2
334,2024-06-02,306035,5547,620,99155,7925,1224,1101332.07,2
335,2024-06-04,165437,4714,944,147483,622,164,615436.96,2
336,2024-06-05,178832,7116,1062,120818,1567,257,689051.26,2
337,2024-06-08,14140,111,98,7379,7035,1164,2738827.91,2
338,2024-06-10,407140,15355,1471,310540,8153,635,1334693.92,2
339,2024-06-12,149066,528,1203,82542,2374,216,428969.04,2
340,2024-06-14,162645,6172,188,59776,1799,162,267254.65,2
341,2024-06-18,450916,10420,4448,306307,5026,285,226124.89,2
342,2024-06-19,276709,4936,980,124983,2324,177,611625.35,2
343,2024-06-24,351808,7202,647,243466,2601,251,231713.78,2
344,2024-06-25,445923,17769,2763,395492,7289,1818,4148434.44,2
345,2024-06-27,220055,9891,1250,151461,2872,584,1246228.74,2
346,2024-06-28,394498,5747,3886,227821,3250,189,403821.0,2
347,2024-07-03,393095,12995,931,185771,7183,1464,1281861.39,2
348,2024-07-09,396807,2684,3038,229496,7233,2148,5765479.93,2
349,2024-07-10,315900,11541,1234,128461,1175,346,1194600.67,2
350,2024-07-15,283239,458,1710,111790,3914,1000,1443888.26,2
351,2024-07-17,220780,10751,890,161899,695,158,302502.93,2
352,2024-07-18,424306,19163,2912,277251,9396,2536,7264263.22,2
353,2024-07-19,332759,11942,2806,195475,9222,1429,6536416.67,2
354,2024-07-21,204058,4707,1579,166617,2376,487,1015729.7,2
355,2024-07-22,73516,2977,631,54656,9172,529,2024391.12,2
356,2024-07-23,88969,1506,638,26845,9312,872,3793913.0,2
357,2024-07-24,29795,1477,49,18732,6709,1788,2628153.32,2
358,2024-07-26,113782,1299,147,84234,8229,2341,10348203.62,2
359,2024-07-27,316942,12855,485,282680,1188,328,1154000.89,2
360,2024-07-28,68990,640,310,27398,2647,282,625265.55,2
361,2024-08-01,278181,5463,2723,95563,5676,883,608485.05,2
362,2024-08-02,155455,362,1507,100545,2017,457,2229014.51,2
363,2024-08-04,479082,18178,3949,410943,7280,1381,4594685.74,2
364,2024-08-09,357984,5296,3169,242960,9385,2120,6218263.47,2
365,2024-08-13,425871,5920,602,265649,1812,193,730718.78,2
366,2024-08-15,230416,773,2102,197899,7854,1557,7030417.45,2
367,2024-08-22,118886,3766,687,87296,9935,1562,2663202.25,2
368,2024-08-23,423381,18175,2410,308586,9541,1002,2703081.2,2
369,2024-08-25,73692,412,676,47741,9218,609,2923937.0,2
370,2024-08-26,483604,16939,841,282734,6367,1550,4973415.93,2
371,2024-08-28,289793,2630,734,176843,9815,1942,7111316.54,2
372,2024-08-29,29803,1017,65,9711,5575,1375,6694115.9,2
373,2024-09-02,440787,20970,2823,306060,9352,1419,6402045.64,2
374,2024-09-10,488121,9142,2563,281886,7865,862,2252740.44,2
375,2024-09-13,112032,1930,598,39019,1505,180,257663.99,2
376,2024-09-18,401012,10952,3483,178860,1209,71,70014.23,2
377,2024-09-22,497217,11773,2459,166252,5532,337,589817.17,2
378,2024-09-26,137535,724,901,74883,2916,787,2429081.79,2
379,2024-09-29,23054,580,168,11918,1406,396,492393.42,2
380,2024-10-05,438415,9500,2060,209803,6182,708,2503300.62,2
381,2024-10-07,416648,17234,3997,259387,4665,1239,631229.98,2
382,2024-10-12,184965,2519,284,77679,1925,426,432472.8,2
383,2024-10-18,214981,8645,1497,162432,1824,282,1094244.94,2
384,2024-10-22,365256,7600,1420,255024,5939,1289,4581125.08,2
385,2024-10-24,445865,19847,2848,197959,7594,672,855669.81,2
386,2024-10-25,257453,1778,2348,214338,6489,1654,5999009.51,2
387,2024-10-29,95475,1475,513,53006,2048,124,130635.84,2
388,2024-10-31,209944,2432,1091,113566,5674,379,850198.05,2
389,2024-11-03,149586,3300,1055,81663,3309,352,784635.56,2
390,2024-11-04,216234,9302,2000,133540,2120,274,854851.05,2
391,2024-11-06,338913,6484,422,230052,4050,734,2057083.62,2
392,2024-11-07,434819,9607,992,222148,4978,679,811451.76,2
393,2024-11-08,246404,6491,1086,194155,1879,491,1418933.07,2
394,2024-11-11,209559,2446,2073,157907,1104,245,277459.65,2
395,2024-11-12,499500,6091,4893,374684,6268,526,498048.31,2
396,2024-11-19,8597,21,38,3836,2359,563,1443168.04,2
397,2024-11-20,259589,1913,2211,231000,6363,914,2406588.44,2
398,2024-11-21,155245,4741,1310,65373,9038,1103,5322095.98,2
399,2024-12-06,334299,841,3254,273622,3286,556,1609708.34,2
400,2024-12-09,9556,366,81,3812,9619,1104,1518891.22,2
401,2023-08-05,131544,3402,933,113490,188,35,72196.13,3
402,2023-08-06,100931,2984,1009,68051,9376,2383,3414578.1,3
403,2023-08-07,171492,8522,1530,151902,9479,1823,6003088.25,3
404,2023-08-08,78988,2907,184,38548,8898,2026,9281597.59,3
405,2023-08-14,207846,10025,1909,87195,1758,289,193895.02,3
406,2023-08-17,45789,1819,97,39288,1257,149,662589.23,3
407,2023-08-28,311795,15125,2975,196603,5917,1412,3831730.21,3
408,2023-08-29,341662,6625,1220,261634,8175,1965,4400484.43,3
409,2023-08-30,194226,8937,827,94571,6118,1805,4213102.73,3
410,2023-09-02,19354,590,122,14900,414,70,348778.73,3
411,2023-09-10,101167,4334,501,45422,3985,438,833753.09,3
412,2023-09-11,284970,6545,1594,109536,1774,499,292425.19,3
413,2023-09-13,159175,7406,202,84426,3687,670,2242120.49,3
414,2023-09-14,263420,4893,2170,131913,745,135,549486.86,3
415,2023-09-16,290954,14516,2063,255334,8783,470,1795594.03,3
416,2023-09-17,164864,5277,267,135615,8118,2074,8589106.54,3
417,2023-09-19,107752,4574,702,84652,4947,343,800542.67,3
